Index,Start Time,Stop Time,Event,Description,Active
324,31/Jan/2022 00:07:52,,**COMENT**                                      ,                                                ,No
325,31/Jan/2022 00:07:52,,**COMENT**                                      ,                                                ,No
326,31/Jan/2022 00:07:52,,**RELE 95V/HZ RAP 09/2018 - FIM**               ,                                                ,No
327,31/Jan/2022 00:07:52,,**COMENT**                                      ,                                                ,No
328,31/Jan/2022 00:07:52,,**COMENT**                                      ,                                                ,No
329,31/Jan/2022 00:07:52,,**COMENT**                                      ,                                                ,No
330,31/Jan/2022 00:07:52,,**SEQUENCIA DE PARADA U17 - FIM**               ,                                                ,No
331,01/Feb/2022 00:10:00,,CONDICOES INICIAIS U12 PARAD                    ,                                                ,No
332,01/Feb/2022 00:20:00,,STATUS PT.  SF6_60  VAO_U12 SEC 96U12 A-36      ,IS PLACED IN THE OPEN STATE                     ,Yes
333,01/Feb/2022 00:20:00,,STATUS PT.  U12     SUPERV/CONTR UN SINCRONIZADA,IS PLACED IN THE OPEN STATE                     ,Yes
334,01/Feb/2022 00:20:00,,STATUS PT.  U12     AGUA_PURA AGUA PURA PRONTA P,IS PLACED IN CLOSED STATE                       ,Yes
335,01/Feb/2022 00:20:00,01/Feb/2022 00:20:02,STATUS PT.  U12     AGUA_PURA BOMBA 1           ,IS PLACED IN THE OPEN STATE                     ,Yes
336,01/Feb/2022 00:20:00,01/Feb/2022 00:20:02,STATUS PT.  U12     AGUA_PURA BOMBA 1 TENSAO 120,IS PLACED IN CLOSED STATE                       ,Yes
337,01/Feb/2022 00:20:00,,STATUS PT.  U12     AGUA_PURA LIBERACAO PARA EXC,IS PLACED IN THE OPEN STATE                     ,Yes
338,01/Feb/2022 00:20:00,,STATUS PT.  U12     AGUA_PURA VALV AGUA BRUTA   ,IS PLACED IN THE OPEN STATE                     ,Yes
339,01/Feb/2022 00:20:00,,STATUS PT.  U12     AGUA_PURA VALV AGUA BRUTA   ,IS PLACED IN THE OPEN STATE                     ,Yes
340,01/Feb/2022 00:20:00,,STATUS PT.  U12     AUX_UNIDADE DISJ 52-1 UMCC-1,IS PLACED IN THE OPEN STATE                     ,Yes
341,01/Feb/2022 00:20:00,,STATUS PT.  U12     AUX_UNIDADE DISJ 52-2 UMCC-1,IS PLACED IN CLOSED STATE                       ,Yes
342,01/Feb/2022 00:20:00,01/Feb/2022 00:20:02,STATUS PT.  U12     AUX_UNIDADE VENTILADOR 1 ANE,IS PLACED IN THE OPEN STATE                     ,Yes
343,01/Feb/2022 00:20:00,,STATUS PT.  U12     EXCITACAO EXCITACAO CONECTAD,IS PLACED IN THE OPEN STATE                     ,Yes
344,01/Feb/2022 00:20:00,,STATUS PT.  U12     EXCITACAO PRONTO PARA OPERAC,IS PLACED IN CLOSED STATE                       ,Yes
345,01/Feb/2022 00:20:00,,STATUS PT.  U12     EXCITACAO REG TENS AUTO/MAN ,IS PLACED IN CLOSED STATE                       ,Yes
346,01/Feb/2022 00:20:00,,STATUS PT.  U12     EXCITACAO SISTEMA RESFRIAMEN,IS PLACED IN THE OPEN STATE                     ,Yes
347,01/Feb/2022 00:20:00,01/Feb/2022 00:20:02,STATUS PT.  U12     GERADOR BOMBA 1 MANC ESC    ,IS PLACED IN THE OPEN STATE                     ,Yes
348,01/Feb/2022 00:20:00,01/Feb/2022 00:27:52,STATUS PT.  U12     GERADOR BOMBA 1 MANC ESC    ,IS PLACED IN CLOSED STATE                       ,Yes
349,01/Feb/2022 00:20:00,01/Feb/2022 00:27:46,STATUS PT.  U12     GERADOR BOMBA MANC ESC OLEO ,IS PLACED IN CLOSED STATE                       ,Yes
350,01/Feb/2022 00:20:00,,STATUS PT.  U12     GERADOR RES AQUEC BASE INFER,IS PLACED IN CLOSED STATE                       ,Yes
351,01/Feb/2022 00:20:00,,STATUS PT.  U12     GERADOR RESIST AQUEC REC GER,IS PLACED IN CLOSED STATE                       ,Yes
352,01/Feb/2022 00:20:00,,STATUS PT.  U12     GERADOR RESIST AQUEC RECINTO,IS PLACED IN CLOSED STATE                       ,Yes
353,01/Feb/2022 00:20:00,01/Feb/2022 00:22:39,STATUS PT.  U12     GERADOR UN COMANDO DE APLICA,IS PLACED IN CLOSED STATE                       ,Yes
354,01/Feb/2022 00:20:00,,STATUS PT.  U12     REG_VELOC BOMBA 1           ,IS PLACED IN THE OPEN STATE                     ,Yes
355,01/Feb/2022 00:20:00,,STATUS PT.  U12     REG_VELOC BOMBA 2           ,IS PLACED IN THE OPEN STATE                     ,Yes
356,01/Feb/2022 00:20:00,,STATUS PT.  U12     REG_VELOC BOMBA 3           ,IS PLACED IN THE OPEN STATE                     ,Yes
357,01/Feb/2022 00:20:00,,STATUS PT.  U12     REG_VELOC DISTRIBUIDOR FECHA,IS PLACED IN CLOSED STATE                       ,Yes
358,01/Feb/2022 00:20:00,,STATUS PT.  U12     REG_VELOC REALIMENTACAO     ,IS PLACED IN THE OPEN STATE                     ,Yes
359,01/Feb/2022 00:20:00,,STATUS PT.  U12     REG_VELOC TRAVA HIDRAULICA D,IS PLACED IN THE OPEN STATE                     ,Yes
360,01/Feb/2022 00:20:00,,STATUS PT.  U12     REG_VELOC VALV ISOLADORA 20Q,IS PLACED IN THE OPEN STATE                     ,Yes
361,01/Feb/2022 00:20:00,,STATUS PT.  U12     REG_VELOC VALV SOLENOIDE BA ,IS PLACED IN THE OPEN STATE                     ,Yes
362,01/Feb/2022 00:20:00,,STATUS PT.  U12     REG_VELOC VALV SOLENOIDE BB ,IS PLACED IN THE OPEN STATE                     ,Yes
363,01/Feb/2022 00:20:00,,STATUS PT.  U12     REG_VELOC VELOC UNID MAIOR/I,IS PLACED IN THE OPEN STATE                     ,Yes
364,01/Feb/2022 00:20:00,,STATUS PT.  U12     REG_VELOC VELOC UNID MAIOR/I,IS PLACED IN THE OPEN STATE                     ,Yes
365,01/Feb/2022 00:20:00,01/Feb/2022 00:20:29,STATUS PT.  U12     REG_VELOC VELOC UNID MENOR/I,IS PLACED IN CLOSED STATE                       ,Yes
366,01/Feb/2022 00:20:00,,STATUS PT.  U12     REG_VELOC VELOC UNID MENOR/I,IS PLACED IN CLOSED STATE                       ,Yes
367,01/Feb/2022 00:20:00,,STATUS PT.  U12     SUPERV/CONTR AUXILIARES PARA,IS PLACED IN CLOSED STATE                       ,Yes
368,01/Feb/2022 00:20:00,,STATUS PT.  U12     SUPERV/CONTR CARG/FREQ AJUST,IS PLACED IN CLOSED STATE                       ,Yes
369,01/Feb/2022 00:20:00,,STATUS PT.  U12     SUPERV/CONTR UN PREPARACAO D,IS PLACED IN THE OPEN STATE                     ,Yes
370,01/Feb/2022 00:20:00,,STATUS PT.  U12     SUPERV/CONTR UN PRONTA PARA ,IS PLACED IN CLOSED STATE                       ,Yes
371,01/Feb/2022 00:20:00,,STATUS PT.  U12     SUPERV/CONTR UN TOTALMENTE P,IS PLACED IN CLOSED STATE                       ,Yes
372,01/Feb/2022 00:20:00,01/Feb/2022 00:20:02,STATUS PT.  U12     TU KT-12 TENSAO CA 460VCA   ,IS PLACED IN CLOSED STATE                       ,Yes
373,01/Feb/2022 00:20:00,01/Feb/2022 00:20:02,STATUS PT.  U12     TU KT-12 TENSAO CA COMANDO F,IS PLACED IN CLOSED STATE                       ,Yes
374,01/Feb/2022 00:20:00,01/Feb/2022 00:20:02,STATUS PT.  U12     TU TROCADOR CALOR PRINC AGUA,IS PLACED IN THE OPEN STATE                     ,Yes
375,01/Feb/2022 00:20:00,,STATUS PT.  U12     TU TROCADOR CALOR PRINC AGUA,IS PLACED IN THE OPEN STATE                     ,Yes
376,01/Feb/2022 00:20:00,,STATUS PT.  U12     TURBINA VALVULA BORBOLETA 1 ,IS PLACED IN THE OPEN STATE                     ,Yes
377,01/Feb/2022 00:20:00,01/Feb/2022 00:20:02,STATUS PT.  U12     TURBINA VALVULA BORBOLETA 1 ,IS PLACED IN CLOSED STATE                       ,Yes
378,01/Feb/2022 00:20:00,,STATUS PT.  U12     TURBINA VALVULA BORBOLETA 2 ,IS PLACED IN THE OPEN STATE                     ,Yes
379,01/Feb/2022 00:20:00,01/Feb/2022 00:20:02,STATUS PT.  U12     TURBINA VALVULA BORBOLETA 2 ,IS PLACED IN CLOSED STATE                       ,Yes
380,01/Feb/2022 00:20:00,,ANALOG PT.  U12     GERADOR FREQUENCIA          ,IS SET TO OVERRIDE VALUE     46.0000            ,Yes
381,01/Feb/2022 00:20:00,,ANALOG PT.  U12     EXCITACAO POTENCIOMETRO AUTO,IS SET TO      0.0000                           ,Yes
382,01/Feb/2022 00:20:00,,ANALOG PT.  U12     EXCITACAO POTENCIOMETRO MANU,IS SET TO      0.0000                           ,Yes
383,01/Feb/2022 00:20:00,,ANALOG PT.  U12     GERADOR CORRENTE            ,IS SET TO      0.0000                           ,Yes
384,01/Feb/2022 00:20:00,,ANALOG PT.  U12     GERADOR TENSAO RDV          ,IS SET TO OVERRIDE VALUE      0.0000            ,Yes
